scenario,component,current_law,plan_2146,change
"Single, no children · 167% AW",Employer Medicare contribution,1753.9403,0.0,-1753.9403
"Single, no children · 167% AW","Employer social-insurance contribution, total",9253.5471,0.0,-9253.5471
"Single, no children · 167% AW",Employer health-insurance contribution,7594.781431536067,0.0,-7594.781431536067
"Single, no children · 167% AW",Employer social-insurance cashout into wages,0.0,9253.5471,9253.5471
"Single, no children · 167% AW",Employer health-pool cashout into wages,0.0,12021.8735532251,12021.8735532251
"Single, no children · 167% AW",Gross cash wage after cashouts,122778.4,144053.8206532251,21275.420653225097
"Single, no children · 167% AW",Taxable cash wage,120961.4,144053.8206532251,23092.420653225097
"Single, no children · 167% AW",Individual/wage tax before credits,18097.735999999997,42018.83722862878,23921.10122862878
"Single, no children · 167% AW",Employee Social Security contribution,7499.6068,0.0,-7499.6068
"Single, no children · 167% AW",Employee Medicare contribution,1753.9403,0.0,-1753.9403
"Single, no children · 167% AW",Additional employee Medicare tax,0.0,0.0,0.0
"Single, no children · 167% AW",Pre-credit federal tax and social contributions,36604.8302,42018.83722862878,5414.007028628781
"Single, no children · 167% AW",Nonrefundable child tax credit,0.0,0.0,0.0
"Single, no children · 167% AW",Nonrefundable adult credit,0.0,3000.0,3000.0
"Single, no children · 167% AW",Refundable child credit,0.0,0.0,0.0
"Single, no children · 167% AW",Refundable adult wage credit,0.0,500.0,500.0
"Single, no children · 167% AW",Earned income tax credit,0.0,0.0,0.0
"Single, no children · 167% AW",Health-insurance credit,0.0,3250.0,3250.0
"Single, no children · 167% AW",Net federal tax before health credit,36604.8302,38518.83722862878,1914.007028628781
"Single, no children · 167% AW",Net federal tax after health credit,36604.8302,35268.83722862878,-1335.992971371219
"Single, no children · 167% AW",Gross annual health premium,9411.781431536067,7667.499391149566,-1744.2820403865007
"Single, no children · 167% AW",Household-paid premium net of health credit,1817,4417.499391149566,2600.499391149566
"Single, no children · 167% AW",OECD labour-cost denominator,132031.9471,144053.8206532251,12021.873553225101
"Single, no children · 167% AW",Comprehensive employer labour cost,139626.72853153606,144053.8206532251,4427.092121689027
"Single, no children · 167% AW",OECD-style federal tax wedge,0.27724222056860054,0.24483097406718574,-0.0324112465014148
"Single, no children · 167% AW",Full-compensation federal tax wedge,0.2621620558253819,0.24483097406718574,-0.017331081758196143
"Single, no children · 167% AW",Spendable cash after federal tax and insurance,93610.1169,101117.48403344674,7507.367133446751
"Single, no children · 167% AW",Spendable-cash wedge on comprehensive cost,0.32956878754874475,0.29805760392247593,-0.03151118362626881
"Single, 2 children · 67% AW",Original gross cash wage,49258.4,49258.4,0.0
"Single, 2 children · 67% AW",Employer Social Security contribution,2600.5528,0.0,-2600.5528
"Single, 2 children · 67% AW",Employer Medicare contribution,608.1938,0.0,-608.1938
"Single, 2 children · 67% AW","Employer social-insurance contribution, total",3208.7466,0.0,-3208.7466
"Single, 2 children · 67% AW",Employer health-insurance contribution,19981.997421548702,0.0,-19981.997421548702
"Single, 2 children · 67% AW",Employer social-insurance cashout into wages,0.0,3208.7466,3208.7466
"Single, 2 children · 67% AW",Employer health-pool cashout into wages,0.0,12021.8735532251,12021.8735532251
"Single, 2 children · 67% AW",Gross cash wage after cashouts,49258.4,64489.0201532251,15230.6201532251
"Single, 2 children · 67% AW",Taxable cash wage,41944.4,64489.0201532251,22544.6201532251
"Single, 2 children · 67% AW",Individual/wage tax before credits,2904.8280000000004,15799.809937540147,12894.981937540146
"Single, 2 children · 67% AW",Employee Social Security contribution,2600.5528,0.0,-2600.5528
"Single, 2 children · 67% AW",Employee Medicare contribution,608.1938,0.0,-608.1938
"Single, 2 children · 67% AW",Additional employee Medicare tax,0.0,0.0,0.0
"Single, 2 children · 67% AW",Pre-credit federal tax and social contributions,9322.3212,15799.809937540147,6477.488737540147
"Single, 2 children · 67% AW",Nonrefundable child tax credit,2904.8280000000004,0.0,-2904.8280000000004
"Single, 2 children · 67% AW",Nonrefundable adult credit,0.0,3000.0,3000.0
"Single, 2 children · 67% AW",Refundable child credit,1495.1719999999996,4000.0,2504.8280000000004
"Single, 2 children · 67% AW",Refundable adult wage credit,0.0,500.0,500.0
"Single, 2 children · 67% AW",Earned income tax credit,3236.0193599999993,0.0,-3236.0193599999993
"Single, 2 children · 67% AW",Health-insurance credit,0.0,5750.0,5750.0
"Single, 2 children · 67% AW",Net federal tax before health credit,1686.301840000001,8299.809937540147,6613.508097540146
"Single, 2 children · 67% AW",Net federal tax after health credit,1686.301840000001,2549.809937540147,863.5080975401461
"Single, 2 children · 67% AW",Gross annual health premium,27295.997421548702,13149.201477269831,-14146.79594427887
"Single, 2 children · 67% AW",Household-paid premium net of health credit,7314,7399.201477269831,85.20147726983123
"Single, 2 children · 67% AW",OECD labour-cost denominator,52467.1466,64489.0201532251,12021.873553225101
"Single, 2 children · 67% AW",Comprehensive employer labour cost,72449.14402154871,64489.0201532251,-7960.123868323608
"Single, 2 children · 67% AW",OECD-style federal tax wedge,0.032140147678623734,0.03953866769074535,0.007398520012121615
"Single, 2 children · 67% AW",Full-compensation federal tax wedge,0.023275662711742192,0.03953866769074535,0.016263004979003157
"Single, 2 children · 67% AW",Spendable cash after federal tax and insurance,43466.84476,48790.00873841513,5323.163978415127
"Single, 2 children · 67% AW",Spendable-cash wedge on comprehensive cost,0.40003646216894484,0.24343696613019272,-0.15659949603875212
"Married, 2 children · 100% + 0% AW",Original gross cash wage,73520.0,73520.0,0.0
"Married, 2 children · 100% + 0% AW",Employer Social Security contribution,4104.772,0.0,-4104.772
"Married, 2 children · 100% + 0% AW",Employer Medicare contribution,959.9870000000001,0.0,-959.9870000000001
"Married, 2 children · 100% + 0% AW","Employer social-insurance contribution, total",5064.759,0.0,-5064.759
"Married, 2 children · 100% + 0% AW",Employer health-insurance contribution,19981.997421548702,0.0,-19981.997421548702
"Married, 2 children · 100% + 0% AW",Employer social-insurance cashout into wages,0.0,5064.759,5064.759
"Married, 2 children · 100% + 0% AW",Employer health-pool cashout into wages,0.0,12021.8735532251,12021.8735532251
"Married, 2 children · 100% + 0% AW",Gross cash wage after cashouts,73520.0,90606.6325532251,17086.632553225107
"Married, 2 children · 100% + 0% AW",Taxable cash wage,66206.0,90606.6325532251,24400.632553225107
"Married, 2 children · 100% + 0% AW",Individual/wage tax before credits,3687.7200000000003,22198.624975540148,18510.904975540147
"Married, 2 children · 100% + 0% AW",Employee Social Security contribution,4104.772,0.0,-4104.772
"Married, 2 children · 100% + 0% AW",Employee Medicare contribution,959.9870000000001,0.0,-959.9870000000001
"Married, 2 children · 100% + 0% AW",Additional employee Medicare tax,0.0,0.0,0.0
"Married, 2 children · 100% + 0% AW",Pre-credit federal tax and social contributions,13817.238,22198.624975540148,8381.386975540148
"Married, 2 children · 100% + 0% AW",Nonrefundable child tax credit,3687.7200000000003,0.0,-3687.7200000000003
"Married, 2 children · 100% + 0% AW",Nonrefundable adult credit,0.0,6000.0,6000.0
"Married, 2 children · 100% + 0% AW",Refundable child credit,712.2799999999997,4000.0,3287.7200000000003
"Married, 2 children · 100% + 0% AW",Refundable adult wage credit,0.0,1000.0,1000.0
"Married, 2 children · 100% + 0% AW",Earned income tax credit,0.0,0.0,0.0
"Married, 2 children · 100% + 0% AW",Health-insurance credit,0.0,9000.0,9000.0
"Married, 2 children · 100% + 0% AW",Net federal tax before health credit,9417.238000000001,11198.624975540148,1781.3869755401465
"Married, 2 children · 100% + 0% AW",Net federal tax after health credit,9417.238000000001,2198.6249755401477,-7218.6130244598535
"Married, 2 children · 100% + 0% AW",Gross annual health premium,27295.997421548702,20816.700868419397,-6479.296553129305
"Married, 2 children · 100% + 0% AW",Household-paid premium net of health credit,7314,11816.700868419397,4502.700868419397
"Married, 2 children · 100% + 0% AW",OECD labour-cost denominator,78584.759,90606.6325532251,12021.873553225101
"Married, 2 children · 100% + 0% AW",Comprehensive employer labour cost,98566.75642154871,90606.6325532251,-7960.123868323601
"Married, 2 children · 100% + 0% AW",OECD-style federal tax wedge,0.11983542508541638,0.024265607423922395,-0.09556981766149399
"Married, 2 children · 100% + 0% AW",Full-compensation federal tax wedge,0.09554172564758559,0.024265607423922395,-0.0712761182236632
"Married, 2 children · 100% + 0% AW",Spendable cash after federal tax and insurance,61853.521,67591.30670926555,5737.785709265554
"Married, 2 children · 100% + 0% AW",Spendable-cash wedge on comprehensive cost,0.3724707675733402,0.2540136985053456,-0.11845706906799458
"Married, 2 children · 100% + 33% AW",Original gross cash wage,97781.6,97781.6,0.0
"Married, 2 children · 100% + 33% AW",Employer Social Security contribution,5608.9912,0.0,-5608.9912
"Married, 2 children · 100% + 33% AW",Employer Medicare contribution,1311.7802000000001,0.0,-1311.7802000000001
"Married, 2 children · 100% + 33% AW","Employer social-insurance contribution, total",6920.7714000000005,0.0,-6920.7714000000005
"Married, 2 children · 100% + 33% AW",Employer health-insurance contribution,19981.997421548702,0.0,-19981.997421548702
"Married, 2 children · 100% + 33% AW",Employer social-insurance cashout into wages,0.0,6920.7714000000005,6920.7714000000005
"Married, 2 children · 100% + 33% AW",Employer health-pool cashout into wages,0.0,12021.8735532251,12021.8735532251
"Married, 2 children · 100% + 33% AW",Gross cash wage after cashouts,97781.6,116724.2449532251,18942.6449532251
"Married, 2 children · 100% + 33% AW",Taxable cash wage,90467.6,116724.2449532251,26256.6449532251
"Married, 2 children · 100% + 33% AW",Individual/wage tax before credits,6599.112000000001,28597.44001354015,21998.328013540147
"Married, 2 children · 100% + 33% AW",Employee Social Security contribution,5608.9912,0.0,-5608.9912
"Married, 2 children · 100% + 33% AW",Employee Medicare contribution,1311.7802000000001,0.0,-1311.7802000000001
"Married, 2 children · 100% + 33% AW",Additional employee Medicare tax,0.0,0.0,0.0
"Married, 2 children · 100% + 33% AW",Pre-credit federal tax and social contributions,20440.654800000004,28597.44001354015,8156.7852135401445
